Item,Count By The,Location,19.02.26,06.03.26,12.03.26,20.03.26,27.03.26,07.04.26,10.04.26,20.04.26,22.04.2026,
DFYNE boxes Extra Small (H10xW30xL40),box,Unit 1 + 3,-,-,-,-,-,-,-,-,72,
DFYNE Boxes Small (H20xW30xL40),box,Unit 1 + 3,6 box,6 box,6 box,6 box,6 box,6 box,6 box,6,15,
DFYNE Boxes Medium (H40xW30xL40),box,Unit 1 + 3,-,-,-,-,-,-,-,-,23.5,
DFYNE Boxes Large (H50xW40xL40),box,Unit 1 + 3,154 box,140 box,135 box,101 box,99 box,81 boxes,72 boxes,65,166.5,
DFYNE Bags Small (27x35 + 4cm),box,Unit 1 + 3,129 box,129 box,129 box wh1,129 box wh1,129 box wh1,129 box wh1,129 box wh1,129 box wh1,154,
DFYNE Bags Medium (37x45 + 4cm),box,Unit 1 + 3,108 box,108 box,108 box wh1,108 box wh1,108 box wh1,108 box wh1,108 box wh1,108 box wh1,79,
DFYNE Bags Large (42x58 + 4cm),box,Unit 1 + 3,30 box,22 box,20 box,25 box wh3,23 box,20 box,17 boxes,13,11.5,
DFYNE Bags X-Large (50x62 +4cm flap),box,Unit 1 + 3,67 box,58 box,178 box,176 box,174 box,190 box,168 box,158,194,
DFYNE Frosted Bags X-Small (Socks),box,Unit 1 + 3,-,2 box,2 box,2 box,3 box,3 box,3 box,3 box,1,
DFYNE Frosted Bags Small,box,Unit 1 + 3,103 box,80 box,77 box,76 box,84 box,82 box,79 box,77 box,89,
DFYNE Frosted Bags Medium,box,Unit 1 + 3,41 box,20 box,20 box,20 box,30 box,29 box,28 box,27 box,19,
DFYNE frosted bag (short puffer) (67x27x22cm),box,Unit 1,-,-,2,2,2,2,2,2,0,
dfyne frosted bag (long puffer) (53x30x20cm),box,Unit 1,,,4,4,4,4,4,4,4,
DFYNE return hangtags,box,Unit 1,-,-,-,-,22 box,22 box,22 box,22 box,22,
Return product labels (60x40mm),single,Unit 1,-,-,15 rolls,44 Rolls,34 Rolls,22 Rolls,15 Rolls,32 Rolls,32,
Sellotape,single,,,-,42,42,37,25,20,12,,
Gloves,box,,,,,,5 of each size,5 of each size,5 of each size,5 of each size,,
Lint Roller,Single,,,,,,34,32,30,28,,
Auto Bagger Ink Ribbon,box,Unit 1 + 3,35 box,33 box,30 box,28 box,28 box,27 box,27 box,26,26,
Auto Bagger Labels,box,Unit 1 + 3,204,179,173,169,164,153,149 box,143,141,
Auto Bagger Film LEFT ADP38  1+4,single,Unit 3,299 rolls,243 rolls,234 wh3,239 wh3,230,220,204,198,162,
Auto Bagger Film RIGHT ADP37 2+3,single,Unit 3,272 rolls,270 rolls,265 wh3,254 wh3,247,223,214,207,159,
Printer Labels,box,Unit 3,167500 singles,161276 singl,160065 singl,156965,152865,146865,144875,142456,5 packs,
Printer Toners,single,Unit 3,28,12 (ordered),24,21,76,60,60,54,51,
Paper A4,box,Unit 1 + 3,118 box,118 box,118 box,118 box,136 box,122 box,122 box,122,168,
Paper A5,box,Unit 1 + 3,22 box,5 box (ordered),200 box,230 box,219 box,205 box,199 box,188,185,
Clear Cellotape,single,Unit 1 + 3,23 rolls,16 rolls (ordered),214 rolls,155,138,120,114,108,204,
DFYNE Cellotape,single,Unit 3,66 rolls,66 rolls,63,63,63,61,60,58,58,
Water 20L,single,Unit 1 + 3,31 bottl,20 botl,18,62,60,55,54,45,45,
Cardboard Gaylords,single,Unit 3,460 singl,420 singl,380 singl,475 singl,449 singl,280 sing,280 sing ,630,5 pallets,
Pallets UK,single,Unit 1 + 3,-,1200,1000,1000,1000,?,?,450,,
Cable Ties (DHL),single,Unit 3,1500,1460,1420,1380,1350,800,600,300,,
Bags (DHL),single,Unit 3,-,-,-,-,-,-,-,-,,
Box Cutters (Safety Knives),single,Unit 1 + 3,18 singl,18 singl,17 singl,15 singl,9 singl,8 singl,18 singl,15,,
Hand Pallet Wrap,single,Unit 1 + 3,84 box,81 box,80 box,79 boxes,75 boxes,70 boxes,70 boxes,69,389 rolls,
Pallet Wrap (Machine),single,Unit 1,48 rolls,48 rolls,48 rolls,48 rolls,48 rolls,47 rolls,47 rolls,46,45 rolls,
,,,,,,,,,,,,
Checked By (Name),,,KM,KM,KM,,KM,KM,KM,KM,Fiona/Lauren,KM
,,,,biran,biran,biran,biran,biran,biran,biran,,biran
,,,,sc,sc,sc,sc,sc,sc,sc,,sc
,,,,,,,,,,,,
,Please copy and paste weekly counts into main page to determine if more consumables need ordered,,,,,,,,,,,